time,mobile,com_pump,mor_st_bulb,mor_st_wm,kit_ref,kit_tube,kit_bulb,kit_fm,kit_wp,li_tube,li_bulb,room_tube,room_bulb,temple,ms_ref,ms_others,street_light,telecom_tower,hh_pump_w,hh_pump_s,hh_pump_m,ms_heater_s,ms_heater_w,ms_heater_m,ki_fan_s,ki_fan_w,ki_fan_m,li_fan_s,li_fan_w,li_fan_m,li_ac_s,li_ac_w,li_ac_m,room_fan_s,room_fan_w,room_fan_m,shop_bulb,shop_fan_s,shop_fan_w,shop_fan_m,shop_ref,shop_fm,shop_tm,school_fan_M_Su,school_tube_M_Su,school_com_M_Su,school_tv_M_Su,school_sat,school_sun,pa_off_mon_sun,pa_off_sat,pa_off_sun,po_off_mon_sun,po_off_sat,po_off_sun,li_tv_sun,li_tv_mon,li_tv_tue,li_tv_wed,li_tv_thu,li_tv_fri,li_tv_sat,agri_pump_jan_erly,agri_pump_jan_late,agri_pump_feb,agri_pump_mar,agri_pump_apr,agri_pump_may,agri_pump_jun,agri_pump_jul_erly,agri_pump_jul_late,agri_pump_aug,agri_pump_sup,agri_pump_oct,agri_pump_nov,agri_pump_dec
@0,0.5,0,0,0,0.03,0,0,0,0.008,0,0.05,0,0,0,0.03,0,1,1,0,0,0,0,0,0,0,0,0,0.85,0,0.3,0,0,0,0.02,0,0,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0,0,0,0.1,0.05,0.05,0.05,0.05,0.05,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
@1,0.5,0,0,0,0.03,0,0,0,0.008,0,0.05,0,0,0,0.03,0,1,1,0,0,0,0,0,0,0,0,0,0.85,0,0.3,0,0,0,0.02,0,0,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
@2,0.5,0,0,0,0.03,0,0,0,0.008,0,0.05,0,0,0,0.03,0,1,1,0,0,0,0,0,0,0,0,0,0.85,0,0.3,0,0,0,0.02,0,0,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
@3,0.5,0,0,0,0.03,0,0,0,0.008,0,0.05,0,0,0,0.03,0,1,1,0,0,0,0,0,0,0,0,0,0.85,0,0.3,0,0,0,0.02,0,0,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
@4,0.5,0,0,0,0.03,0,0,0,0.008,0,0.05,0,0,0.05,0.03,0,1,1,0,0,0,0,0,0,0,0,0,0.85,0,0.3,0,0,0,0.02,0,0,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
@5,0.5,0.2336448598,0.5,0,0.03,1,1,0,0.048,0.1,0.5,0.1,0.5,0.7,0.03,0,1,1,0.05,0.1,0.05,0.05,0.2,0.1,0.01,0,0,1,0,0.3,0,0,0,0.02,0,0,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
@6,1.5,0.3831775701,0.5,0,0.06,1,1,0,0.048,0.5,0.8,0.5,0.8,1,0.06,0.5,1,1,0.55,0.5,0.55,0.05,0.5,0.4,0.1,0,0,1,0,0.3,0,0,0,0.02,0,0,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0,0,0,0.6,0.3,0.2,0.25,0.25,0.35,0.5,17,8,8,5,3,1,0,15,3,3,3,15,15,15
@7,1.5,0.5327102804,0.5,0.2,0.033,1,1,0,0.08,0.4,0.8,0.4,0.8,0.5,0.06,1,0,1,0.8,0.8,0.8,0.1,0.55,0.45,0.02,0,0,1,0.2,0.2,0,0,0,0.08,0.05,0.01,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0,0,0,0.5,0.4,0.3,0.25,0.35,0.2,0.5,16,8,8,4,2,1,1,18,3,3,3,18,18,18
@8,1,0.5327102804,0.5,0.5,0.06,0,0,0.014,0.048,0,0,0,0,0.5,0.06,1,0,1,0.6,0.6,0.6,0.05,0.149,0.099,0.02,0,0,1,0.5,0.5,0,0,0,0.08,0.05,0.01,1,1,0,0,0.5,1,1,0,0,0,0,0,0,0.2,0.2,0.2,1,1,1,0.6,0.2,0.4,0.3,0.4,0.45,0.6,17,8,8,5,3,2,1,15,3,3,3,15,15,15
@9,1,0.3831775701,0,0.3,0.033,0,0,0.014,0.08,0,0,0,0,0.5,0.06,1,0,1,0.3,0.3,0.3,0.001,0.05,0.05,0.5,0.25,0.25,1,0.9,0.6,0,0,0,0.02,0.01,0.01,0,1,0,0,0.5,1,1,0,0,0,0,0,0,0.2,0.2,0.2,1,1,1,0.5,0.4,0.35,0.2,0.3,0.4,0.6,17,6,6,6,3,2,1,15,3,3,3,15,15,15
